id,Feature,Latitude,Longitude,Power_1980,Power_1985,Power_1990,Power_1995,Power_2000,Power_2005,Power_2010,Power_2015,Power_2018
1,Argentina,-38.416097,-63.616672,2.223,5.434,7.03,7.07,5.985,6.37,6.691,6.519,6.453
2,Armenia,40.069099,45.038189,0,0,0,0,1.84,2.504,2.287,2.571,1.898
3,Belgium,50.503887,4.469936,11.909,32.692,40.586,39.288,45.749,45.335,45.728,24.825,26.996
4,Brazil,-14.235004,-51.92528,0,2.921,1.936,2.39465,4.94,9.197,13.774,13.892,15.674
5,Bulgaria,42.733883,25.48583,5.81,12.375,13.528,16.397,17.269,17.378,14.236,14.701,15.319
6,Canada,56.130366,-106.346771,35.88,57.095,69.242,92.952,69.159,86.831,85.501,95.637,95.037
7,China,35.86166,104.195397,0,0,0,12.38,15.903,50.332,70.962,161.202,272.176
8,Czech Republic,49.817492,15.472962,4.5,5.9,13.24,11.619,12.911,23.255,26.441,25.337,28.255
9,Finland,61.92411,25.748151,6.625,17.98,18.255,18.255,21.355,22.356,21.889,22.326,21.889
10,France,46.227638,2.213749,63.424,211.192,298.377,358.3695,394.404,431.18,410.086,419.022,393.2
11,Germany,51.165691,10.451526,43.7,125.902,139.815,145.436,161.126,154.612,133.012,86.81,71.866
12,Hungary,47.162494,19.503304,0,6.107,13.044,13.324733,13.471,13.021,14.658,14.96,14.857
13,India,20.593684,78.96288,3,4.695,5.611,6.46,14.06,15.734,20.483,34.644,35.389
14,Iran,32.427908,53.688046,0,0,0,0,0,0,0,3.198,6.3
15,Japan,36.204824,138.252924,78.636,149.657,192.158,276.691,305.947,280.502,280.25,4.346,49.199
16,Mexico,23.634501,-102.552784,0,0,2.79,8.021,7.81,10.318,5.592,11.185,13.2
17,Netherlands,52.132633,5.291266,3.947,3.674,3.327,3.817,3.73,3.772,3.755,3.862,3.341
18,Pakistan,30.375321,69.345116,0,0.326,0.364,0.497582,0.38,2.406,2.56,4.333,9.29
19,Romania,45.943161,24.96676,0,0,0,0,5.225,5.113,10.705,10.71,10.442
20,Russia,61.52401,105.318756,48.5729,112.1754,120.7838,94.335,122.455,137.63876,159.41134,182.807,181.765
21,Slovakia,48.669026,19.699024,2.1,5.3,10.35,10.868,15.669,16.336,13.536,14.084,13.789
22,Slovenia,46.151241,14.995463,4.1,4.1,4.5,4.558,4.549,5.614,5.381,5.372,5.49
23,South Africa,-30.559482,22.937506,0,5.315,8.449,11.301,13.01,12.238,12.89994,10.965,10.564
24,South Korea,35.907757,127.766922,3.277,15.78,50.243,63.67693,103.51555,137.59,141.89,157.199,127.075
25,Spain,40.463667,-3.74922,5.186,28.043,51.555,52.682,59.096,54.98564,59.25532,54.759,53.295
26,Sweden,"	60.128161",18.643501,25.331,55.812,64.776,66.438,54.45,69.57669,55.73055,54.455,63.849
27,Switzerland,46.818188,8.227512,12.876,20.055,22.418,23.65,25.124,22.10861,25.34296,22.156,24.496
28,Taiwan,23.69781,120.960515,7.812,27.788,31.553,33.93,36.996,38.4039,39.88629,35.143,26.656
29,Ukraine,48.379433,31.16558,14.57573,57.78731,80.52261,66.975,71.06,83.402,83.945,82.405,80.178
30,United Kingdom,55.378051,-3.435973,32.291,53.766,62.462,84.516,80.81,75.337,56.853,63.895,59.098
31,United States,37.09024,-95.712891,251.1155746,383.6907268,576.861678,673.402123,753.89294,781.986365,806.9683006,797.177877,807.084477
